date;dist
2017/01/01;50
2017/01/02;45
2017/01/04;45
2017/01/05;20
2017/01/12;40
2017/01/13;40
2017/01/17;50
2017/01/18;45
2017/01/19;45
2017/01/21;50
2017/01/22;55
2017/01/23;55
2017/01/24;40
2017/01/25;45
2017/01/27;25
2017/01/28;105
2017/01/29;55
2017/01/30;45
2017/02/01;45
2017/02/02;40
2017/02/03;55
2017/02/04;55
2017/02/05;75
2017/02/06;60
2017/02/13;40
2017/02/14;55
2017/02/15;60
2017/02/18;50
2017/02/19;80
2017/02/20;35
2017/02/21;55
2017/02/22;40
2017/02/24;50
2017/02/25;65
2017/02/26;55
2017/02/27;30
2017/03/01;65
2017/03/02;40
2017/03/03;40
2017/03/04;75
2017/03/05;55
2017/03/06;35
2017/03/08;60
2017/03/10;45
2017/03/11;100
2017/03/12;70
2017/03/13;30
2017/03/15;45
2017/03/16;60
2017/03/17;50
2017/03/19;55
2017/03/20;40
2017/03/21;35
2017/03/22;50
2017/03/23;60
2017/03/25;50
2017/03/26;75
2017/03/27;55
2017/03/28;50
2017/03/29;45
2017/03/30;45
2017/03/31;35
2017/04/01;90
2017/04/02;95
2017/04/03;35
2017/04/05;65
2017/04/06;45
2017/04/08;100
2017/04/09;90
2017/04/10;75
2017/04/11;35
2017/04/13;40
2017/04/14;40
2017/04/16;80
2017/04/17;85
2017/04/18;65
2017/04/19;80
2017/04/20;50
2017/04/22;70
2017/04/23;100
2017/04/25;45
2017/04/26;80
2017/04/27;35
2017/04/28;190
2017/04/30;90
2017/05/01;75
2017/05/02;65
2017/05/03;190
2017/05/04;30
2017/05/06;90
2017/05/07;90
2017/05/08;40
2017/05/09;40
2017/05/10;35
2017/05/12;105
2017/05/13;100
2017/05/14;60
2017/05/15;40
2017/05/16;145
2017/05/17;60
2017/05/18;75
2017/05/20;80
2017/05/21;80
2017/05/22;50
2017/05/24;45
2017/05/25;60
2017/05/27;20
2017/05/28;110
2017/05/29;60
2017/05/31;65
2017/06/01;40
2017/06/02;45
2017/06/03;110
2017/06/04;80
2017/06/06;70
2017/06/07;55
2017/06/08;90
2017/06/09;45
2017/06/10;90
2017/06/11;75
2017/06/12;30
2017/06/13;75
2017/06/14;75
2017/06/15;20
2017/06/16;65
2017/06/18;75
2017/06/19;70
2017/06/20;25
2017/06/21;25
2017/06/22;25
2017/06/23;25
2017/06/24;75
2017/06/25;65
2017/06/27;225
2017/06/28;65
2017/06/30;25
2017/07/01;95
2017/07/02;90
2017/07/03;25
2017/07/04;60
2017/07/05;75
2017/07/06;45
2017/07/07;85
2017/07/08;110
2017/07/09;120
2017/07/10;60
2017/07/11;50
2017/07/13;180
2017/07/14;90
2017/07/15;110
2017/07/16;155
2017/07/18;125
2017/07/20;35
2017/07/21;35
2017/07/22;160
2017/07/23;105
2017/07/24;100
2017/07/25;25
2017/07/26;55
2017/07/27;35
2017/07/28;55
2017/07/29;135
2017/07/30;50
2017/07/31;35
2017/08/01;50
2017/08/02;75
2017/08/03;95
2017/08/04;50
2017/08/05;50
2017/08/06;80
2017/08/07;40
2017/08/08;40
2017/08/09;25
2017/08/10;25
2017/08/11;50
2017/08/12;25
2017/08/13;50
2017/08/14;60
2017/08/15;60
2017/08/16;145
2017/08/18;20
2017/08/19;55
2017/08/20;95
2017/08/21;20
2017/08/22;35
2017/08/23;50
2017/08/25;25
2017/08/26;45
2017/08/28;60
2017/08/29;40
2017/08/31;50
2017/09/01;35
2017/09/02;35
2017/09/03;50
2017/09/05;65
2017/09/07;30
2017/09/08;35
2017/09/09;75
2017/09/10;60
2017/09/11;35
2017/09/12;60
2017/09/13;50
2017/09/16;65
2017/09/17;80
2017/09/19;45
2017/09/20;80
2017/09/21;45
2017/09/23;65
2017/09/24;165
2017/09/25;30
2017/09/27;50
2017/09/28;65
2017/09/30;125
2017/10/01;65
2017/10/02;60
2017/10/09;45
2017/10/10;65
2017/10/11;55
2017/10/14;65
2017/10/15;60
2017/10/16;75
2017/10/17;45
2017/10/18;45
2017/10/19;25
2017/10/22;70
2017/10/23;60
2017/10/24;75
2017/10/25;20
2017/10/28;50
2017/10/29;55
2017/10/30;55
2017/10/31;40
2017/11/02;30
2017/11/03;60
2017/11/04;60
2017/11/05;75
2017/11/06;35
2017/11/07;70
2017/11/08;55
2017/11/10;75
2017/11/11;35
2017/11/12;70
2017/11/14;50
2017/11/15;85
2017/11/16;50
2017/11/18;70
2017/11/19;70
2017/11/21;75
2017/11/22;55
2017/11/23;50
2017/11/27;40
2017/11/28;60
2017/11/29;50
2017/11/30;40
2017/12/02;70
2017/12/03;60
2017/12/04;40
2017/12/05;40
2017/12/06;35
2017/12/07;30
2017/12/08;120
2017/12/09;75
2017/12/10;60
2017/12/11;30
2017/12/12;45
2017/12/13;50
2017/12/14;35
2017/12/17;65
2017/12/18;40
2017/12/19;45
2017/12/20;50
2017/12/21;60
2017/12/22;60
2017/12/23;50
2017/12/24;55
2017/12/25;50
2017/12/26;70
2017/12/27;70
2017/12/28;45
2017/12/29;65
2017/12/30;120
2017/12/31;65
